round_id,trial,mean_score,mean_kl,mean_acc_pct,params_json
a8be24e1-bd48-49bb-aa46-c5593da79f6f,298,23.432537,0.484606,95.937500,"{""DIRICHLET_ALPHA"": 0.06846321888606578, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.231959356742323, ""PROB_FLOOR"": 0.00016885983545528825}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,177,23.432193,0.484603,95.937500,"{""DIRICHLET_ALPHA"": 0.08463076238098388, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.1588419565418342, ""PROB_FLOOR"": 0.003816186695270958}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,133,23.431683,0.484606,95.937500,"{""DIRICHLET_ALPHA"": 0.08088616608258156, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.1801598044785284, ""PROB_FLOOR"": 0.001134124123219781}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,136,23.427256,0.484661,95.937500,"{""DIRICHLET_ALPHA"": 0.07813802508736935, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.201680009723098, ""PROB_FLOOR"": 0.008411280831552407}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,278,23.427238,0.484680,95.937500,"{""DIRICHLET_ALPHA"": 0.10507996001421974, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0714163360358446, ""PROB_FLOOR"": 0.0036184931621581424}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,229,23.422931,0.484759,95.937500,"{""DIRICHLET_ALPHA"": 0.09239019097093785, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.1038161059807188, ""PROB_FLOOR"": 0.0009265696580576829}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,194,23.417296,0.484830,95.937500,"{""DIRICHLET_ALPHA"": 0.12971607004755645, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9862363182366097, ""PROB_FLOOR"": 0.0016681895422548548}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,15,23.416599,0.484855,95.937500,"{""DIRICHLET_ALPHA"": 0.08496799393168984, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.1301060408008996, ""PROB_FLOOR"": 0.008207247743500725}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,12,23.416039,0.484858,95.937500,"{""DIRICHLET_ALPHA"": 0.12269339470619389, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9981838824139475, ""PROB_FLOOR"": 0.00027276216309964643}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,277,23.415570,0.484868,95.937500,"{""DIRICHLET_ALPHA"": 0.07087948157483884, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.1995553991615204, ""PROB_FLOOR"": 0.0025396350161691916}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,88,23.415552,0.484819,95.937500,"{""DIRICHLET_ALPHA"": 0.08448032174177786, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.1798656761825366, ""PROB_FLOOR"": 0.0002142424103875844}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,93,23.415096,0.484868,95.937500,"{""DIRICHLET_ALPHA"": 0.1310862968853352, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9771964387808197, ""PROB_FLOOR"": 0.01029227465642099}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,241,23.413433,0.484861,95.937500,"{""DIRICHLET_ALPHA"": 0.11391339828826412, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0550928257200445, ""PROB_FLOOR"": 0.0001209033482647772}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,184,23.412762,0.484876,95.937500,"{""DIRICHLET_ALPHA"": 0.1226384642056963, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0235116109290372, ""PROB_FLOOR"": 0.00022209963241424168}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,263,23.408269,0.484919,95.937500,"{""DIRICHLET_ALPHA"": 0.08641578827883031, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.175263738328045, ""PROB_FLOOR"": 0.006889553884016301}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,6,23.407004,0.484988,95.937500,"{""DIRICHLET_ALPHA"": 0.14310034888380035, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9408954887139107, ""PROB_FLOOR"": 0.0001402102259054043}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,294,23.405795,0.484962,95.937500,"{""DIRICHLET_ALPHA"": 0.1081935946299513, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0823957494992202, ""PROB_FLOOR"": 0.0024214858662479073}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,167,23.404933,0.484986,95.937500,"{""DIRICHLET_ALPHA"": 0.133057418705622, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9942629337801017, ""PROB_FLOOR"": 0.004947924720655578}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,66,23.404794,0.485011,95.937500,"{""DIRICHLET_ALPHA"": 0.15385186996500244, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9217073232630956, ""PROB_FLOOR"": 0.010268161575417179}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,237,23.402574,0.485013,95.937500,"{""DIRICHLET_ALPHA"": 0.12430175406081415, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.025354503433677, ""PROB_FLOOR"": 0.019400549120975306}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,50,23.400808,0.485033,95.937500,"{""DIRICHLET_ALPHA"": 0.1153387504732112, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0582689609886151, ""PROB_FLOOR"": 0.00011212637549285227}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,175,23.399598,0.485097,95.937500,"{""DIRICHLET_ALPHA"": 0.15420169790681942, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9114451596242539, ""PROB_FLOOR"": 0.0001884720170661243}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,240,23.397187,0.485122,95.937500,"{""DIRICHLET_ALPHA"": 0.16670131037535962, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8907576629258179, ""PROB_FLOOR"": 0.015750838728877656}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,122,23.395439,0.485151,95.937500,"{""DIRICHLET_ALPHA"": 0.1678871884097267, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8850836047643074, ""PROB_FLOOR"": 0.000917907866557032}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,45,23.393172,0.485204,95.937500,"{""DIRICHLET_ALPHA"": 0.09324875308836089, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.082424455880158, ""PROB_FLOOR"": 0.0022861547811862987}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,166,23.391698,0.485157,95.937500,"{""DIRICHLET_ALPHA"": 0.11354036684317362, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0696577534398717, ""PROB_FLOOR"": 0.0027531425984240352}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,257,23.388870,0.485259,95.937500,"{""DIRICHLET_ALPHA"": 0.1588358287907911, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8942517870248813, ""PROB_FLOOR"": 0.0003595584421477651}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,165,23.387591,0.485286,95.937500,"{""DIRICHLET_ALPHA"": 0.08589139643777034, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.1109732226084126, ""PROB_FLOOR"": 0.006472828651892822}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,287,23.387039,0.485229,95.937500,"{""DIRICHLET_ALPHA"": 0.13408467684386302, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0016210780149222, ""PROB_FLOOR"": 0.00508098302748381}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,83,23.381738,0.485292,95.937500,"{""DIRICHLET_ALPHA"": 0.10901717662568328, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0912428629354902, ""PROB_FLOOR"": 0.0007254764176798595}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,118,23.380688,0.485384,95.937500,"{""DIRICHLET_ALPHA"": 0.14558814675338605, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9185165216371155, ""PROB_FLOOR"": 0.002072956469214157}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,247,23.353078,0.485794,95.937500,"{""DIRICHLET_ALPHA"": 0.10998631193659548, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.007650310871239, ""PROB_FLOOR"": 0.00010088338074960898}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,18,23.342712,0.485867,95.937500,"{""DIRICHLET_ALPHA"": 0.19886185060051323, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8529449079004022, ""PROB_FLOOR"": 0.0033818704748287166}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,113,23.334710,0.485972,95.937500,"{""DIRICHLET_ALPHA"": 0.18417175078514245, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8880382992919739, ""PROB_FLOOR"": 0.00015643517173876813}"
